depart,from,arrival,to
MAO,2551,CIZ,7398
MAO,2551,MBZ,7396
MAO,2551,MNX,2594
MNX,2594,RBB,7397
RBB,7397,MAO,2551
AER,2965,KZN,2990
ASF,2966,KZN,2990
CEK,2968,KZN,2990
CEK,2968,OVB,4078
CSY,6162,DME,4029
DME,4029,CSY,6162
DME,4029,KVX,6142
DME,4029,KZN,2990
DME,4029,MQF,2969
DME,4029,NBC,6969
DME,4029,UUA,6160
GYD,2922,NBC,6969
KEJ,2957,SVX,2975
KJA,4374,OMS,2958
KRR,2960,KZN,2990
KRR,2960,NBC,6969
KUF,4118,LED,2948
KVX,6142,DME,4029
KZN,2990,AER,2965
KZN,2990,ASF,2966
KZN,2990,CEK,2968
KZN,2990,DME,4029
KZN,2990,KRR,2960
KZN,2990,LED,2948
KZN,2990,MRV,2962
KZN,2990,OMS,2958
KZN,2990,ROV,2964
KZN,2990,SVX,2975
LED,2948,KUF,4118
LED,2948,KZN,2990
LED,2948,MQF,2969
LED,2948,NBC,6969
LED,2948,PEE,2973
LED,2948,UFA,2992
MQF,2969,DME,4029
MQF,2969,LED,2948
MRV,2962,KZN,2990
MRV,2962,NBC,6969
NBC,6969,DME,4029
NBC,6969,GYD,2922
NBC,6969,KRR,2960
NBC,6969,LED,2948
NBC,6969,MRV,2962
NBC,6969,NJC,2972
NBC,6969,NUX,4364
NBC,6969,ROV,2964
NBC,6969,SVX,2975
NJC,2972,NBC,6969
NUX,4364,NBC,6969
OMS,2958,KJA,4374
OMS,2958,KZN,2990
OVB,4078,CEK,2968
OVB,4078,SVX,2975
PEE,2973,LED,2948
ROV,2964,KZN,2990
ROV,2964,NBC,6969
SVX,2975,KEJ,2957
SVX,2975,KZN,2990
SVX,2975,NBC,6969
SVX,2975,OVB,4078
UFA,2992,LED,2948
UUA,6160,DME,4029
BQS,2926,OVB,4078
BTK,2936,IKT,2937
GDX,2930,IKT,2937
HTA,2935,IKT,2937
IKT,2937,BTK,2936
IKT,2937,GDX,2930
IKT,2937,HTA,2935
IKT,2937,KCK,
IKT,2937,MJZ,2925
IKT,2937,ODO,8944
IKT,2937,OVB,4078
IKT,2937,ULK,9026
IKT,2937,VVO,2934
KCK,,IKT,2937
MJZ,2925,IKT,2937
MJZ,2925,OVB,4078
ODO,8944,IKT,2937
OVB,4078,BQS,2926
OVB,4078,IKT,2937
OVB,4078,MJZ,2925
ULK,9026,IKT,2937
VVO,2934,IKT,2937
YKS,2923,IKT,2937
AYP,2786,LIM,2789
CUZ,2812,LIM,2789
CUZ,2812,PEM,2808
HUU,6067,LIM,2789
IQT,2801,PCL,2781
IQT,2801,TPP,2806
LIM,2789,AYP,2786
LIM,2789,CUZ,2812
LIM,2789,HUU,6067
LIM,2789,PCL,2781
LIM,2789,TPP,2806
PCL,2781,IQT,2801
PCL,2781,LIM,2789
PCL,2781,TPP,2806
PEM,2808,CUZ,2812
TPP,2806,IQT,2801
TPP,2806,LIM,2789
TPP,2806,PCL,2781
ABJ,253,BOY,247
ABJ,253,OUA,246
ACC,248,OUA,246
BKO,1044,OUA,246
BOY,247,ABJ,253
BOY,247,OUA,246
COO,245,LFW,298
COO,245,OUA,246
DKR,1084,OUA,246
LFW,298,OUA,246
NIM,280,OUA,246
OUA,246,ABJ,253
OUA,246,ACC,248
OUA,246,BKO,1044
OUA,246,BOY,247
OUA,246,COO,245
OUA,246,DKR,1084
OUA,246,LFW,298
OUA,246,NIM,280
CUE,2671,UIO,2688
GPS,2672,GYE,2673
GPS,2672,UIO,2688
GYE,2673,GPS,2672
GYE,2673,SCY,6045
GYE,2673,UIO,2688
MEC,2683,UIO,2688
OCC,2670,UIO,2688
SCY,6045,GYE,2673
SCY,6045,UIO,2688
UIO,2688,CUE,2671
UIO,2688,GYE,2673
UIO,2688,MEC,2683
UIO,2688,OCC,2670
UIO,2688,SCY,6045
AJR,730,LYC,719
ARN,737,GEV,715
ARN,737,HAD,709
ARN,737,JKG,688
ARN,737,KRF,718
ARN,737,KSD,5595
ARN,737,LYC,719
ARN,737,MHQ,442
ARN,737,OER,722
ARN,737,VBY,746
ARN,737,VHM,729
ARN,737,VXO,711
BMA,738,JKG,688
CPH,609,LPI,742
GEV,715,ARN,737
GEV,715,KRF,718
HAD,709,ARN,737
HAD,709,JKG,688
HMV,5599,VHM,729
JKG,688,ARN,737
JKG,688,BMA,738
JKG,688,HAD,709
KRF,718,ARN,737
KRF,718,GEV,715
KSD,5595,ARN,737
KSD,5595,LPI,742
LPI,742,CPH,609
