"effort","total_infected","total_infected.1","total_infected.2","total_infected.3","total_infected.4","total_infected.5","total_infected.6","total_infected.7","total_infected.8","total_infected.9","total_infected.10","total_infected.11","total_infected.12","total_infected.13","total_infected.14","total_infected.15","total_infected.16","total_infected.17","total_infected.18","total_infected.19","total_infected.20","total_infected.21","total_infected.22","total_infected.23","total_infected.24","total_infected.25","total_infected.26","total_infected.27","total_infected.28","total_infected.29","total_infected.30","total_infected.31","total_infected.32","total_infected.33","total_infected.34","total_infected.35","total_infected.36","total_infected.37","total_infected.38","total_infected.39","total_infected.40","total_infected.41","total_infected.42","total_infected.43","total_infected.44","total_infected.45","total_infected.46","total_infected.47","total_infected.48","total_infected.49"
0,3273,4,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273
0.01,2992,4,2992,5,2992,2992,2992,2992,2992,2992,2992,2992,1,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,1,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2992,2993
0.06,1671,4,1668,5,1669,4,41,2,1668,2,1,1668,1,26,1668,1682,1668,1668,1668,1670,1,1668,1668,1,26,1,40,1668,1668,1668,1668,1668,1668,1668,1668,1673,1668,1668,1,1,1,1685,1668,1668,1668,2,1668,1,1,1
0.11,791,4,266,5,842,1,21,2,787,2,1,787,1,6,787,804,6,266,787,793,1,787,266,1,1,1,16,266,787,787,1,787,48,1,266,271,787,266,1,1,1,797,787,1,48,2,787,1,1,1
0.16,624,4,199,5,662,1,19,2,620,2,1,620,1,4,1,630,6,199,620,629,1,620,1,1,1,1,2,199,620,620,1,620,11,1,199,204,624,199,1,1,1,630,620,1,2,1,621,1,1,1
0.21,482,4,130,5,518,1,19,2,17,2,1,478,1,4,1,12,1,130,478,489,1,478,1,1,1,1,2,130,478,478,1,478,11,1,130,1,486,130,1,1,1,5,478,1,2,1,480,1,1,1
0.26,223,4,83,5,228,1,19,2,17,2,1,1,1,4,1,12,1,83,1,233,1,215,1,1,1,1,2,83,215,215,1,215,3,1,83,1,74,83,1,1,1,5,1,1,2,1,225,1,1,1
0.31,48,4,1,5,9,1,19,2,13,2,1,1,1,4,1,9,1,3,1,72,1,2,1,1,1,1,2,9,2,1,1,14,1,1,1,1,58,1,1,1,1,5,1,1,2,1,62,1,1,1
0.36,15,4,1,5,8,1,19,2,5,2,1,1,1,4,1,9,1,3,1,20,1,2,1,1,1,1,2,4,1,1,1,1,1,1,1,1,31,1,1,1,1,5,1,1,2,1,20,1,1,1
0.41,11,4,1,5,6,1,14,2,4,2,1,1,1,4,1,5,1,1,1,14,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,23,1,1,1,1,5,1,1,2,1,14,1,1,1
0.46,8,4,1,5,6,1,11,2,2,2,1,1,1,3,1,5,1,1,1,6,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,15,1,1,1,1,5,1,1,2,1,7,1,1,1
0.51,5,4,1,1,4,1,10,2,2,2,1,1,1,3,1,5,1,1,1,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,14,1,1,1,1,4,1,1,2,1,4,1,1,1
0.56,5,4,1,1,3,1,10,1,1,2,1,1,1,3,1,5,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,4,1,1,2,1,3,1,1,1
0.61,5,4,1,1,3,1,10,1,1,2,1,1,1,3,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,1,1,1
0.66,3,4,1,1,1,1,10,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,2,1,1,1,1,1
0.71,3,4,1,1,1,1,10,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1
0.76,3,4,1,1,1,1,9,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1
0.81,3,4,1,1,1,1,8,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1
0.86,2,4,1,1,1,1,8,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1
0.91,1,3,1,1,1,1,8,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1
0.96,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1
