"effort","total_infected","total_infected.1","total_infected.2","total_infected.3","total_infected.4","total_infected.5","total_infected.6","total_infected.7","total_infected.8","total_infected.9","total_infected.10","total_infected.11","total_infected.12","total_infected.13","total_infected.14","total_infected.15","total_infected.16","total_infected.17","total_infected.18","total_infected.19","total_infected.20","total_infected.21","total_infected.22","total_infected.23","total_infected.24","total_infected.25","total_infected.26","total_infected.27","total_infected.28","total_infected.29","total_infected.30","total_infected.31","total_infected.32","total_infected.33","total_infected.34","total_infected.35","total_infected.36","total_infected.37","total_infected.38","total_infected.39","total_infected.40","total_infected.41","total_infected.42","total_infected.43","total_infected.44","total_infected.45","total_infected.46","total_infected.47","total_infected.48","total_infected.49"
0,3273,4,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273
0.01,3140,4,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3141,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140
0.06,2400,4,2397,5,2398,2397,2397,2397,2397,2,1,1,1,2397,2397,2397,2397,2397,2397,2410,2397,2397,2397,1,2397,1,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2405,2397,2397,2397,2397,2397,2397,2397,2397,2397,2400,1,1,2398
0.11,854,4,46,5,862,7,144,103,885,2,1,1,1,144,842,842,201,12,41,931,1,842,37,1,144,1,201,37,842,842,842,842,100,1,1,847,877,37,201,1,842,842,1,842,842,842,901,1,1,1
0.16,33,4,1,5,212,7,48,2,16,2,1,1,1,33,158,43,183,3,1,199,1,2,1,1,1,1,183,9,1,1,1,2,86,1,1,5,37,1,183,1,27,17,1,15,158,158,26,1,1,1
0.21,10,4,1,5,18,7,19,2,7,2,1,1,1,4,1,35,1,1,1,22,1,2,1,1,1,1,61,6,1,1,1,2,3,1,1,5,25,1,1,1,26,13,1,15,2,15,11,1,1,1
0.26,7,4,1,5,12,4,19,2,4,2,1,1,1,4,1,31,1,1,1,11,1,1,1,1,1,1,43,4,1,1,1,1,1,1,1,1,13,1,1,1,13,13,1,12,2,11,7,1,1,1
0.31,6,4,1,5,12,4,13,2,2,2,1,1,1,3,1,16,1,1,1,6,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,11,1,1,1,1,13,1,1,2,2,3,1,1,1
0.36,5,4,1,5,5,4,13,2,1,2,1,1,1,3,1,10,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,7,1,1,1,1,13,1,1,2,2,1,1,1,1
0.41,4,4,1,1,4,4,13,2,1,2,1,1,1,3,1,9,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,1,1,1,1,10,1,1,2,2,1,1,1,1
0.46,4,4,1,1,4,4,10,2,1,2,1,1,1,3,1,8,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,8,1,1,2,2,1,1,1,1
0.51,4,4,1,1,2,1,9,2,1,2,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,8,1,1,1,2,1,1,1,1
0.56,4,4,1,1,2,1,9,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,7,1,1,1,1,1,1,1,1
0.61,4,4,1,1,2,1,9,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,7,1,1,1,1,1,1,1,1
0.66,4,4,1,1,2,1,9,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
0.71,3,4,1,1,2,1,8,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
0.76,3,4,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.81,2,4,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.86,2,4,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.91,1,4,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.96,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
