"effort","total_infected"
0,3273
0.01,3229
0.02,3206
0.03,3167
0.04,3046
0.05,3019
0.06,3008
0.07,2992
0.08,2973
0.09,2948
0.1,2918
0.11,2894
0.12,2869
0.13,2845
0.14,2821
0.15,2798
0.16,2778
0.17,2756
0.18,2755
0.19,2728
0.2,2725
0.21,2712
0.22,2691
0.23,2658
0.24,2646
0.25,2633
0.26,2601
0.27,2560
0.28,2546
0.29,2526
0.3,2501
0.31,2465
0.32,2451
0.33,2446
0.34,2374
0.35,2366
0.36,2314
0.37,2259
0.38,2205
0.39,2191
0.4,2156
0.41,2124
0.42,2109
0.43,2094
0.44,2085
0.45,2043
0.46,2001
0.47,1956
0.48,1930
0.49,1820
0.5,1731
0.51,1657
0.52,1597
0.53,1507
0.54,1469
0.55,1376
0.56,1221
0.57,1143
0.58,854
0.59,643
0.6,535
0.61,267
0.62,103
0.63,103
0.64,103
0.65,103
0.66,103
0.67,103
0.68,103
0.69,103
0.7,103
0.71,103
0.72,103
0.73,103
0.74,103
0.75,103
0.76,103
0.77,103
0.78,103
0.79,103
0.8,103
0.81,103
0.82,103
0.83,103
0.84,103
0.85,103
0.86,103
0.87,103
0.88,103
0.89,103
0.9,103
0.91,103
0.92,103
0.93,103
0.94,103
0.95,103
0.96,103
0.97,103
0.98,103
0.99,103
