time, s, e, i, r
0, 3276, 0, 10, 0
1, 3216, 60, 10, 0
2, 3174, 102, 10, 0
3, 3146, 130, 10, 0
4, 3145, 104, 37, 0
5, 3137, 63, 86, 0
6, 3124, 38, 124, 0
7, 3112, 33, 141, 0
8, 3108, 31, 147, 0
9, 3103, 25, 158, 0
10, 3099, 20, 167, 0
11, 3094, 17, 165, 10
12, 3093, 13, 170, 10
13, 3091, 11, 147, 37
14, 3088, 9, 103, 86
15, 3085, 8, 69, 124
16, 3082, 10, 53, 141
17, 3081, 8, 50, 147
18, 3078, 8, 42, 158
19, 3076, 7, 36, 167
20, 3075, 6, 30, 175
21, 3075, 4, 27, 180
22, 3074, 2, 26, 184
23, 3070, 6, 21, 189
24, 3066, 9, 18, 193
25, 3066, 8, 18, 194
26, 3065, 8, 16, 197
27, 3064, 3, 19, 200
28, 3062, 4, 17, 203
29, 3061, 4, 16, 205
30, 3061, 3, 15, 207
31, 3061, 2, 13, 210
32, 3060, 1, 15, 210
33, 3059, 2, 14, 211
34, 3057, 4, 13, 212
35, 3055, 5, 13, 213
36, 3054, 5, 8, 219
37, 3054, 3, 9, 220
38, 3052, 3, 10, 221
39, 3051, 3, 10, 222
40, 3051, 3, 9, 223
41, 3051, 2, 8, 225
42, 3051, 1, 9, 225
43, 3051, 0, 10, 225
44, 3051, 0, 9, 226
45, 3051, 0, 8, 227
46, 3051, 0, 6, 229
47, 3051, 0, 4, 231
48, 3051, 0, 3, 232
49, 3051, 0, 3, 232
50, 3051, 0, 2, 233
51, 3051, 0, 1, 234
52, 3051, 0, 0, 235
