"Effort","Median"
0,0.000304043782304652
5,0.000300406666891581
10,0.000278297111015297
15,0.000270814554248802
20,0.000266950160186792
25,0.000270193090473707
30,0.000262123298882836
35,0.000252858780148454
40,0.00023351835419816
45,0.000214576612941602
50,0.000189911254147984
55,0.000172468026228414
60,0.000161133162261521
65,0.00015692638650564
70,0.000150289651136335
75,0.000145838823702463
80,0.000138392700599099
85,0.000121059271571744
90,0.000116457509058843
95,0.000111660791581725
100,0.000109665240568213
