"Effort","Median"
0,0.000304043782304652
5,0.0003089942729393
10,0.000335128061946851
15,0.000352006012516383
20,0.000362415196275197
25,0.000376937615417734
30,0.000386742532765777
35,0.00039842914748405
40,0.000414932252374501
45,0.000428644428671807
50,0.000439274017726662
55,0.000449334954116097
60,0.00044340950621744
65,0.000405809443401751
70,0.000268555583374445
75,0.000100150280705608
80,8.48407745585651e-05
85,8.51207521334338e-05
90,8.48038496817571e-05
95,8.48327688538502e-05
100,8.49457540668618e-05
