time, s, e, i, r
0, 3276, 0, 10, 0
1, 3274, 2, 10, 0
2, 3274, 2, 10, 0
3, 3274, 2, 10, 0
4, 3274, 0, 12, 0
5, 3260, 14, 12, 0
6, 3259, 15, 12, 0
7, 3258, 16, 12, 0
8, 3257, 16, 13, 0
9, 3257, 3, 26, 0
10, 3246, 13, 27, 0
11, 3246, 12, 18, 10
12, 3243, 14, 19, 10
13, 3243, 5, 26, 12
14, 3237, 9, 28, 12
15, 3235, 9, 30, 12
16, 3233, 10, 31, 12
17, 3230, 12, 31, 13
18, 3230, 6, 24, 26
19, 3230, 4, 25, 27
20, 3227, 5, 26, 28
21, 3226, 4, 27, 29
22, 3224, 6, 18, 38
23, 3223, 5, 18, 40
24, 3222, 5, 17, 42
25, 3213, 11, 19, 43
26, 3209, 14, 19, 44
27, 3208, 14, 14, 50
28, 3208, 10, 16, 52
29, 3207, 3, 22, 54
30, 3203, 5, 22, 56
31, 3201, 7, 22, 56
32, 3200, 7, 21, 58
33, 3199, 4, 24, 59
34, 3198, 3, 23, 62
35, 3197, 4, 22, 63
36, 3195, 4, 23, 64
37, 3194, 4, 20, 68
38, 3194, 4, 12, 76
39, 3194, 1, 13, 78
40, 3194, 0, 14, 78
41, 3194, 0, 13, 79
42, 3194, 0, 9, 83
43, 3194, 0, 7, 85
44, 3194, 0, 7, 85
45, 3194, 0, 5, 87
46, 3194, 0, 4, 88
47, 3194, 0, 4, 88
48, 3194, 0, 1, 91
49, 3194, 0, 0, 92
