"Effort","Median"
0,0.000304043782304652
5,0.000298297216210677
10,0.000265983759587393
15,0.00023490081635631
20,0.000215227703865235
25,0.000204344590259949
30,0.000192642851618384
35,0.00018480773808932
40,0.000178328012718977
45,0.00016363812590697
50,0.00015001130504454
55,0.000128211139792553
60,0.000112419636528127
65,9.54099465322591e-05
70,8.70100587679903e-05
75,7.63895188168126e-05
80,6.64152611113155e-05
85,4.96796362643497e-05
90,3.54506167794108e-05
95,2.90047498994213e-05
100,2.42307297968042e-05
