time, s, e, i, r
0, 3276, 0, 10, 0
1, 3197, 79, 10, 0
2, 3188, 88, 10, 0
3, 3185, 91, 10, 0
4, 3184, 56, 46, 0
5, 3116, 78, 92, 0
6, 3028, 159, 99, 0
7, 2974, 210, 102, 0
8, 2952, 209, 125, 0
9, 2911, 157, 218, 0
10, 2855, 148, 283, 0
11, 2803, 162, 311, 10
12, 2757, 174, 345, 10
13, 2725, 150, 365, 46
14, 2694, 123, 377, 92
15, 2672, 105, 410, 99
16, 2640, 99, 445, 102
17, 2623, 82, 456, 125
18, 2606, 76, 386, 218
19, 2586, 63, 354, 283
20, 2570, 61, 334, 321
21, 2551, 59, 321, 355
22, 2532, 61, 282, 411
23, 2520, 60, 237, 469
24, 2499, 61, 217, 509
25, 2485, 57, 197, 547
26, 2480, 45, 180, 581
27, 2471, 36, 175, 604
28, 2462, 27, 160, 637
29, 2451, 33, 147, 655
30, 2448, 28, 134, 676
31, 2444, 23, 126, 693
32, 2438, 22, 120, 706
33, 2434, 16, 110, 726
34, 2429, 16, 97, 744
35, 2426, 17, 82, 761
36, 2425, 10, 72, 779
37, 2423, 8, 58, 797
38, 2421, 7, 56, 802
39, 2417, 9, 50, 810
40, 2417, 7, 43, 819
41, 2416, 6, 38, 826
42, 2415, 4, 31, 836
43, 2412, 5, 28, 841
44, 2412, 5, 26, 843
45, 2412, 3, 20, 851
46, 2411, 4, 16, 855
47, 2411, 1, 16, 858
48, 2409, 3, 14, 860
49, 2409, 2, 13, 862
50, 2409, 2, 11, 864
51, 2409, 2, 8, 867
52, 2409, 0, 8, 869
53, 2409, 0, 8, 869
54, 2409, 0, 6, 871
55, 2409, 0, 6, 871
56, 2409, 0, 3, 874
57, 2409, 0, 3, 874
58, 2409, 0, 2, 875
59, 2409, 0, 2, 875
60, 2409, 0, 2, 875
61, 2409, 0, 0, 877
