"IATA_From","IATA_To","Edge_Betweenness"
"GKA","POM",0.00030311704746208964
"MAG","LAE",3.551187903233527e-07
"MAG","MAS",2.161592636750842e-07
"MAG","WWK",2.933590007019e-07
"MAG","POM",0.00030253032946068586
"HGU","LAE",6.021579488091632e-07
"HGU","POM",0.00030226785035479466
"HGU","WWK",3.859986851340789e-07
"HGU","MXH",3.242388955126263e-07
"HGU","TIZ",3.705587377287158e-07
"HGU","TBG",4.168785799448053e-07
"LAE","HKN",3.087989481072632e-07
"LAE","MAG",2.7791905329653686e-07
"LAE","HGU",5.249582117823473e-07
"LAE","POM",0.00030007072385873943
"LAE","MAS",2.6247910589117373e-07
"LAE","RAB",2.4596056019463425e-06
"LAE","PNP",6.484777910252526e-07
"POM","GKA",0.0003019127315644712
"POM","MAG",0.00029898263060141147
"POM","HGU",0.00030087825508831183
"POM","LAE",0.0002987047115481149
"POM","HKG",0.00195648378754018
"POM","WWK",0.0003012951336682567
"POM","MNL",0.0004733784461140113
"POM","SIN",0.0017032575964517826
"POM","CEB",7.61956469443073e-05
"POM","LNV",0.0002994767089183831
"POM","TBG",0.00030154217282674247
"POM","SYD",0.0008181129700993389
"POM","NRT",0.003048775726075679
"POM","HIR",0.0007886004464741967
"POM","BUA",0.0002994767089183831
"POM","DAU",0.0006033622647067815
"POM","GUR",0.0009051823565868205
"POM","PNP",0.0006029917059690528
"POM","HKN",0.00029922966975989726
"POM","UNG",0.00030158849266895857
"POM","KVG",0.0002994767089183831
"POM","MDU",0.0003019127315644712
"POM","MAS",0.000299090710233249
"POM","MXH",0.0003014958529845264
"POM","BNE",0.0002735092390067188
"POM","TIZ",0.00030154217282674247
"POM","CNS",9.015849541183384e-05
"POM","RAB",0.00013880358563283227
"POM","VAI",0.00030172745219560687
"POM","WBM",0.0003019127315644712
"WWK","MAG",3.705587377287158e-07
"WWK","HGU",5.558381065930737e-07
"WWK","VAI",1.852793688643579e-07
"WWK","POM",0.0006051841785006146
"UAK","JFR",0.0002025849379886292
"UAK","CPH",0.001861134536656615
"UAK","JJU",0.0009049044375335241
"UAK","JNS",0.00030168113235339077
"UAK","GOH",4.501899343526811e-05
"UAK","RKV",0.00014424648482595431
"GOH","JFR",9.932779357584216e-05
