"#","IATA","Name","Depart AC+AT","Depart GA","Depart MIL","Depart Total","Arrival AC+AT","Arrival GA","Arrival MIL","Arrival Total","Total"
1,"ABE "," Allentown",724,3434,27,4185,702,3403,23,4128,8313
2,"ABI "," Abilene",474,1348,934,2756,450,1325,918,2693,5449
3,"ABQ "," Albuquerque",3337,1390,919,5646,3313,1374,903,5590,11236
4,"ABY "," Albany",202,1094,94,1390,65,395,59,519,1909
5,"ACK "," Nantucket",2353,675,12,3040,2333,639,10,2982,6022
6,"ACT "," Waco",233,924,331,1488,208,902,317,1427,2915
7,"ACY "," Atlantic City",660,860,1768,3288,635,839,1668,3142,6430
8,"ADM "," Ardmore Muni",0,1030,175,1205,0,412,64,476,1681
9,"ADQ "," Kodiak",770,107,482,1359,751,97,478,1326,2685
10,"ADS "," Dallas",433,3510,22,3965,412,3484,11,3907,7872
11,"ADW "," Andrews AFB",52,367,2102,2521,36,384,2078,2498,5019
12,"AEX "," Alexandria",376,573,666,1615,358,549,656,1563,3178
13,"AFW "," Fort Worth Alliance",345,5038,831,6214,331,5022,806,6159,12373
14,"AGC "," Pittsburgh",740,1418,41,2199,730,1400,30,2160,4359
15,"AGS "," Augusta",625,637,118,1380,608,618,121,1347,2727
16,"AHN "," Athens",125,1533,31,1689,104,1513,29,1646,3335
17,"AKN "," King Salmon",312,81,29,422,291,70,33,394,816
18,"ALB "," Albany",1898,823,216,2937,1878,805,220,2903,5840
19,"ALN "," St Louis Regional",129,1114,23,1266,122,1119,22,1263,2529
20,"ALO "," Waterloo",69,755,115,939,43,632,76,751,1690
21,"ALW "," Walla Walla",92,927,7,1026,64,834,3,901,1927
22,"AMA "," Amarillo",838,859,1197,2894,811,840,1174,2825,5719
23,"ANC "," Anchorage",6709,3463,96,10268,6685,3446,69,10200,20468
24,"APA "," Denver",1462,11277,313,13052,1435,11263,265,12963,26015
25,"APC "," Napa County",200,2191,9,2400,102,947,6,1055,3455
26,"APF "," Naples",756,4680,5,5441,739,4656,3,5398,10839
27,"ARA "," Acadiana Regional",595,2911,277,3783,536,2947,263,3746,7529
28,"ARB "," Ann Arbor Muni",25,2362,3,2390,11,2298,3,2312,4702
29,"ASE "," Aspen",1259,863,8,2130,1228,836,5,2069,4199
30,"ASG "," Springdale Municipal",82,962,0,1044,61,941,0,1002,2046
31,"ASH "," Nashua Boire Field",21,2224,2,2247,10,1979,2,1991,4238
32,"ATL "," Atlanta",38265,373,16,38654,38241,353,12,38606,77260
33,"ATW "," Appleton",555,601,17,1173,537,583,12,1132,2305
34,"AUS "," Austin",5271,2141,372,7784,5246,2119,334,7699,15483
35,"AVL "," Asheville",617,1895,301,2813,596,1875,296,2767,5580
36,"AVP "," Wilkes","Barre",555,12,1146,558,534,8,1100,2246
37,"AZO "," Kalamazoo",364,1691,2,2057,346,1668,2,2016,4073
38,"BAF "," Barnes Muni",38,1359,312,1709,24,1324,247,1595,3304
39,"BCT "," Boca Raton",383,2324,6,2713,357,2297,3,2657,5370
40,"BDL "," Hartford",3416,648,125,4189,3391,624,90,4105,8294
41,"BDR "," Bridgeport",92,3917,18,4027,64,3895,22,3981,8008
42,"BED "," Bedford/Hanscom",774,5154,22,5950,747,5129,13,5889,11839
43,"BFI "," Seattle",1744,5111,35,6890,1723,5088,24,6835,13725
44,"BFL "," Bakersfield",493,1907,38,2438,472,1888,32,2392,4830
45,"BFM "," Mobile",195,965,1899,3059,173,944,1927,3044,6103
46,"BGM "," Binghamton",263,269,28,560,243,246,24,513,1073
47,"BGR "," Bangor",572,516,594,1682,550,494,577,1621,3303
48,"BHM "," Birmingham",2147,1661,248,4056,2126,1643,226,3995,8051
49,"BIL "," Billings",1606,1598,45,3249,1584,1576,37,3197,6446
50,"BIS "," Bismarck",542,1703,136,2381,523,1683,118,2324,4705
51,"BJC "," Broomfield Jeffco",220,4491,270,4981,199,4461,280,4940,9921
52,"BKL "," Cleveland",567,1066,19,1652,563,1056,11,1630,3282
53,"BLI "," Bellingham",864,1607,28,2499,846,1496,19,2361,4860
54,"BMG "," Bloomington",34,892,10,936,25,864,10,899,1835
55,"BMI "," Bloomington","Normal",623,18,1001,331,574,13,918,1919
56,"BNA "," Nashville",6050,1360,95,7505,6024,1334,84,7442,14947
57,"BOI "," Boise",1861,3338,636,5835,1837,3308,510,5655,11490
58,"BOS "," Boston",14359,593,36,14988,14338,576,24,14938,29926
59,"BPT "," Beaumont",145,578,22,745,132,555,15,702,1447
60,"BRO "," Brownsville",422,689,341,1452,397,658,374,1429,2881
61,"BTL "," Battle Creek",51,3646,63,3760,32,3752,59,3843,7603
62,"BTR "," Baton Rouge",1156,3503,64,4723,1133,3482,56,4671,9394
63,"BTV "," Burlington",1126,1335,330,2791,1106,1318,323,2747,5538
64,"BUF "," Buffalo",2994,1547,234,4775,2968,1522,232,4722,9497
65,"BVY "," Beverly Muni",51,1586,19,1656,34,1441,10,1485,3141
66,"BWI "," Baltimore",9519,654,91,10264,9499,629,65,10193,20457
67,"CAE "," Columbia",1345,795,118,2258,1329,753,123,2205,4463
68,"CAK "," Akron/Canton",1216,1751,141,3108,1195,1735,84,3014,6122
69,"CCR "," Concord",128,3444,8,3580,124,3419,6,3549,7129
70,"CDW "," Caldwell",45,2398,32,2475,26,2290,21,2337,4812
71,"CGF "," Cleveland Cuyahoga County",130,1056,0,1186,109,1039,0,1148,2334
72,"CHA "," Chattanooga",723,1174,416,2313,701,1150,406,2257,4570
73,"CHD "," Chandler Municipal",100,11150,4,11254,82,9907,4,9993,21247
74,"CHS "," Charleston",2324,1194,1115,4633,2301,1168,1093,4562,9195
75,"CIC "," Chico",551,1426,621,2598,207,556,445,1208,3806
76,"CID "," Cedar Rapids",1158,865,6,2029,1139,844,5,1988,4017
77,"CKB "," Clarksburg",139,468,776,1383,119,409,767,1295,2678
78,"CLE "," Cleveland",6643,347,11,7001,6613,326,5,6944,13945
79,"CLL "," College Station",347,1432,617,2396,327,1413,595,2335,4731
80,"CLT "," Charlotte",22478,1067,78,23623,22451,1041,67,23559,47182
81,"CMH "," Columbus",4432,797,16,5245,4407,776,8,5191,10436
82,"CMI "," Champaign",596,1719,10,2325,580,1661,10,2251,4576
83,"CNO "," Chino",22,7331,133,7486,18,7307,112,7437,14923
84,"CNW "," Waco James Connall",0,1577,621,2198,0,994,559,1553,3751
85,"COS "," Colorado Springs",1128,2073,1628,4829,1100,2075,1616,4791,9620
86,"COU "," Columbia",160,649,101,910,140,637,77,854,1764
87,"CPR "," Casper",510,929,21,1460,481,881,19,1381,2841
88,"CPS "," Saint Louis",538,3455,30,4023,520,3429,24,3973,7996
89,"CRE "," Grand Strand",315,1056,55,1426,310,1042,41,1393,2819
90,"CRG "," Craig Muni",60,4052,417,4529,46,4033,259,4338,8867
91,"CRP "," Corpus Christi",751,798,1664,3213,730,767,1647,3144,6357
92,"CRQ "," San Diego",398,6027,71,6496,380,6002,52,6434,12930
93,"CRW "," Charleston",780,821,228,1829,760,791,206,1757,3586
94,"CSG "," Columbus",141,1007,22,1170,121,978,18,1117,2287
95,"CVG "," Cincinnati",5461,223,5,5689,5439,200,4,5643,11332
96,"CWF "," Lake Charles",34,188,607,829,24,186,588,798,1627
97,"CXO "," Lone Star Executive",52,2060,206,2318,33,2039,185,2257,4575
98,"CXY "," Harrisburg",11,718,156,885,3,699,150,852,1737
99,"CYS "," Cheyenne",219,852,1353,2424,197,873,1339,2409,4833
100,"DAB "," Daytona Beach",319,12298,51,12668,296,12277,42,12615,25283
101,"DAL "," Dallas",5108,2504,44,7656,5088,2476,26,7590,15246
102,"DAY "," Dayton",1857,508,12,2377,1840,487,8,2335,4712
103,"DBQ "," Dubuque",99,2093,9,2201,44,1147,8,1199,3400
104,"DCA "," Washington",11779,182,138,12099,11759,160,110,12029,24128
105,"DEC "," Decatur",162,1303,623,2088,143,1291,506,1940,4028
106,"DEN "," Denver",24172,177,10,24359,24144,163,5,24312,48671
107,"DET "," Detroit City",76,1799,35,1910,60,1784,35,1879,3789
108,"DFW "," Dallas/Ft. Worth",28376,353,4,28733,28351,331,2,28684,57417
109,"DLH "," Duluth",481,1563,355,2399,459,1483,341,2283,4682
110,"DPA "," Chicago",259,2741,32,3032,241,2721,19,2981,6013
111,"DSM "," Des Moines",1798,1219,51,3068,1781,1201,38,3020,6088
112,"DTO "," Denton Muni",94,6679,4,6777,83,6655,1,6739,13516
113,"DTW "," Detroit",16862,253,7,17122,16836,231,3,17070,34192
