"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2926
0.04,2776
0.05,2670
0.06,2594
0.07,2503
0.08,2218
0.09,1937
0.1,1565
0.11,1153
0.12,852
0.13,702
0.14,456
0.15,445
0.16,359
0.17,208
0.18,127
0.19,113
0.2,113
0.21,113
0.22,108
0.23,108
0.24,108
0.25,108
0.26,108
0.27,108
0.28,108
0.29,108
0.3,108
0.31,108
0.32,108
0.33,108
0.34,108
0.35,105
0.36,105
0.37,105
0.38,105
0.39,105
0.4,105
0.41,105
0.42,105
0.43,105
0.44,105
0.45,105
0.46,105
0.47,105
0.48,105
0.49,105
0.5,105
0.51,105
0.52,105
0.53,105
0.54,105
0.55,105
0.56,105
0.57,105
0.58,105
0.59,105
0.6,105
0.61,105
0.62,105
0.63,105
0.64,105
0.65,105
0.66,105
0.67,105
0.68,105
0.69,105
0.7,105
0.71,105
0.72,105
0.73,105
0.74,105
0.75,105
0.76,105
0.77,105
0.78,105
0.79,105
0.8,105
0.81,105
0.82,105
0.83,105
0.84,105
0.85,105
0.86,105
0.87,105
0.88,105
0.89,105
0.9,105
0.91,105
0.92,105
0.93,105
0.94,105
0.95,105
0.96,105
0.97,105
0.98,105
0.99,105
1.0,105
