"effort","total_infected","total_infected.1","total_infected.2","total_infected.3","total_infected.4","total_infected.5","total_infected.6","total_infected.7","total_infected.8","total_infected.9","total_infected.10","total_infected.11","total_infected.12","total_infected.13","total_infected.14","total_infected.15","total_infected.16","total_infected.17","total_infected.18","total_infected.19","total_infected.20","total_infected.21","total_infected.22","total_infected.23","total_infected.24","total_infected.25","total_infected.26","total_infected.27","total_infected.28","total_infected.29","total_infected.30","total_infected.31","total_infected.32","total_infected.33","total_infected.34","total_infected.35","total_infected.36","total_infected.37","total_infected.38","total_infected.39","total_infected.40","total_infected.41","total_infected.42","total_infected.43","total_infected.44","total_infected.45","total_infected.46","total_infected.47","total_infected.48","total_infected.49","total_infected.50","total_infected.51","total_infected.52","total_infected.53","total_infected.54","total_infected.55","total_infected.56","total_infected.57","total_infected.58","total_infected.59","total_infected.60","total_infected.61","total_infected.62","total_infected.63","total_infected.64","total_infected.65","total_infected.66"
0,3273,4,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273,3273
0.01,3172,4,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3173,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172,3172
0.02,3076,4,4,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3077,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,4
0.03,2928,4,4,2926,2926,2926,2926,2926,2926,2926,2926,2928,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,2,2930,2926,2926,2926,3,2926,2926,2926,2926,2926,2926,2926,2926,2926,2926,4
0.04,2778,4,4,2776,2,2776,2776,2776,2776,2776,2776,2782,2776,2776,2776,2776,2,2776,2,2776,2776,2776,2776,6,2776,2776,2776,2776,2776,2776,2778,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2,2780,2776,2776,3,3,2776,2776,2,2776,2776,2776,2776,2776,2776,2776,4
0.05,2672,4,4,2670,2,2670,2670,2670,2670,2670,2670,2682,2670,2670,2670,2670,2,2670,2,2670,2670,2670,2670,6,2670,2670,2670,2670,2670,2670,2674,2670,2670,2670,2670,2670,2670,2670,2670,2670,2670,2671,3,2670,2671,2670,2670,2670,2670,2670,2,2675,2670,2670,3,3,2670,2670,2,2670,2670,2670,2670,2670,2670,2670,4
0.06,2596,4,4,4,2,2594,2594,2594,2594,2594,2594,2606,2594,2594,2594,2594,2,2594,2,2594,2594,2594,2594,6,2594,2594,2594,2594,2594,2594,2601,2594,2594,2594,2594,2594,2594,2594,2594,2594,2594,2596,3,4,2595,2594,2596,2594,2594,2594,2,2599,2594,2594,3,3,2594,2594,2,2594,2594,2594,2594,2594,2594,2594,4
0.07,2506,4,4,4,2,2503,2503,2503,2503,2503,2503,2517,2503,2503,2503,2503,2,2503,2,2503,2503,2503,2503,6,2503,2503,2503,2503,2503,2503,2511,2503,2503,2503,2503,2503,2503,2503,2503,2503,2503,2506,3,4,4,2503,2505,2503,2503,2503,2,2508,2503,2503,3,3,2503,2503,2,2503,2503,2503,2503,2503,2503,2503,4
0.08,2201,4,4,4,2,2198,2198,2198,2198,2198,2198,2224,2198,2198,2198,2198,2,2198,2,2198,2198,2198,2198,6,2198,2198,2198,2198,2198,2198,2212,2198,2198,2,2218,2198,2198,2198,2198,2198,2198,2205,3,4,4,2198,2218,2198,2198,2198,2,2203,2198,2198,3,3,2198,2198,2,2198,2198,2198,2198,110,110,2198,4
0.09,1920,4,4,4,2,1917,1917,1917,1917,227,1917,1943,227,1917,1917,227,2,1917,2,1917,227,1917,1917,6,1917,1917,1917,2,227,1922,1935,227,1917,2,1937,1917,1917,1917,1917,1917,1917,1926,3,4,4,1917,1940,1917,1917,1920,2,1922,1917,1917,3,3,1917,1917,2,1917,1917,1917,1917,110,110,1917,4
